time,filename,pathname,exception name,exception data,error report filename
"Sat Apr 23 23:32:51 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.SyntaxError","invalid syntax (LapBlast.py, line 81)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-32-51-20585.html"
"Sat Apr 23 23:33:01 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.IndentationError","expected an indented block (LapBlast.py, line 82)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-33-01-18076.html"
"Sat Apr 23 23:33:10 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","sequence index must be integer","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-33-10-99952.html"
"Sat Apr 23 23:42:51 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.SyntaxError","invalid syntax (LapBlast.py, line 85)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-42-51-26585.html"
"Sat Apr 23 23:43:10 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.SyntaxError","invalid syntax (LapBlast.py, line 95)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-43-10-76457.html"
"Sat Apr 23 23:43:31 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.KeyError","blastType","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-43-31-82906.html"
"Sat Apr 23 23:44:47 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.KeyError","type","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-44-47-10077.html"
"Sat Apr 23 23:45:16 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","dict objects are unhashable","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-45-16-27944.html"
"Sat Apr 23 23:52:23 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","dict objects are unhashable","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-52-23-73793.html"
"Sat Apr 23 23:52:36 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","dict objects are unhashable","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-52-36-80944.html"
"Sat Apr 23 23:54:46 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","cannot concatenate 'str' and 'tuple' objects","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-54-46-88270.html"
"Sat Apr 23 23:58:30 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.IndexError","list index out of range","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-23-23-58-30-38873.html"
"Sun Apr 24 00:01:54 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.SyntaxError","invalid syntax (LapBlast.py, line 95)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-00-01-54-38541.html"
"Sun Apr 24 00:04:20 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.KeyError","params","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-00-04-20-25071.html"
"Sun Apr 24 11:18:27 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.IndentationError","expected an indented block (conf_main.py, line 322)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-11-18-27-53421.html"
"Sun Apr 24 12:07:02 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.SyntaxError","invalid syntax (BlastJobPage.py, line 163)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-12-07-02-41389.html"
"Sun Apr 24 12:07:15 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","'str' object is not callable","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-12-07-15-66841.html"
"Sun Apr 24 12:10:27 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","cannot concatenate 'str' and 'instance' objects","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-12-10-27-89872.html"
"Sun Apr 24 12:12:39 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","cannot concatenate 'str' and 'instance' objects","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-12-12-39-57542.html"
"Sun Apr 24 12:13:35 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","can't pickle file objects","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-12-13-35-55346.html"
"Sun Apr 24 12:24:40 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.SyntaxError","invalid syntax (BlastJobPage.py, line 39)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-12-24-40-75019.html"
"Sun Apr 24 18:40:33 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.AttributeError","JobStatus instance has no attribute 'serverURL'","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-24-18-40-33-14947.html"
"Sun Apr 24 18:41:21 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.AttributeError","JobStatus instance has no attribute 'servletURI'","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-24-18-41-21-14036.html"
"Sun Apr 24 18:49:59 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.SyntaxError","invalid syntax (LunarcPage.py, line 18)","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-24-18-49-59-11999.html"
"Sun Apr 24 18:50:22 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.SyntaxError","invalid syntax (LunarcPage.py, line 18)","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-24-18-50-22-37188.html"
"Sun Apr 24 18:50:52 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.NotImplementedError","","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-24-18-50-52-91670.html"
"Sun Apr 24 18:57:22 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.NotImplementedError","","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-24-18-57-22-18234.html"
"Sun Apr 24 19:16:16 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.AssertionError","Cannot find expected servlet class named 'BlastJobPageblastp' in '/opt/gridportal/context/BlastJobPageblastp.py'.","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-19-16-16-15858.html"
